day,num
2016-01-01,8
2016-01-02,18
2016-01-03,71
2016-01-04,26
2016-01-06,156
2016-01-07,179
2016-01-08,30
2016-01-09,21
2016-01-10,151
2016-01-11,99
2016-01-12,96
2016-01-13,86
2016-01-14,75
2016-01-15,186
2016-01-16,84
2016-01-17,101
2016-01-18,10
2016-01-19,66
2016-01-20,32
2016-01-21,42
2016-01-22,22
2016-01-23,4
2016-01-24,44
2016-01-25,97
2016-01-26,21
2016-01-27,2
2016-01-28,68
2016-01-29,72
2016-01-30,1
2016-01-31,10
2016-02-01,18
2016-02-02,31
2016-02-03,146
2016-02-04,110
2016-02-05,307
2016-02-06,308
2016-02-07,11
2016-02-08,158
2016-02-09,214
2016-02-10,226
2016-02-11,99
2016-02-12,1
2016-02-13,190
2016-02-14,246
2016-02-15,6
2016-02-16,80
2016-02-17,154
2016-02-18,491
2016-02-19,169
2016-02-20,226
2016-02-21,170
2016-02-22,313
2016-02-23,213
2016-02-24,50
2016-02-25,358
2016-02-26,508
2016-02-27,306
2016-02-28,5
2016-02-29,438
2016-03-01,142
2016-03-02,76
2016-03-03,6
2016-03-04,31
2016-03-05,194
2016-03-06,1
2016-03-07,55
2016-03-08,130
2016-03-09,156
2016-03-10,210
2016-03-11,63
2016-03-12,334
2016-03-13,20
2016-03-14,20
2016-03-15,36
2016-03-16,67
2016-03-17,240
2016-03-18,120
2016-03-19,68
2016-03-20,20
2016-03-21,38
2016-03-22,1018
2016-03-23,187
2016-03-24,48
2016-03-25,15
2016-03-26,11
2016-03-27,84
2016-03-28,24
2016-03-29,126
2016-03-30,16
2016-03-31,157
2016-04-01,28
2016-04-02,5
2016-04-03,16
2016-04-04,41
2016-04-05,15
2016-04-06,27
2016-04-07,62
2016-04-08,15
2016-04-09,38
2016-04-10,1
2016-04-11,1
2016-04-12,3
2016-04-13,2
2016-04-14,1
2016-04-15,2
2016-04-16,4
2016-04-17,34
2016-04-18,7
2016-04-19,2
2016-04-20,12
2016-04-21,19
2016-04-22,32
2016-04-23,22
2016-04-24,25
2016-04-25,4
2016-04-26,10
2016-04-27,8
2016-04-28,10
2016-04-29,16
2016-04-30,36
2016-05-01,2
2016-05-02,11
2016-05-03,38
2016-05-04,31
2016-05-05,3
2016-05-06,1
2016-05-07,205
2016-05-08,318
2016-05-09,231
2016-05-10,150
2016-05-11,37
2016-05-12,277
2016-05-13,1
2016-05-14,9
2016-05-15,159
2016-05-16,57
2016-05-17,1
2016-05-18,2
2016-05-19,50
2016-05-20,35
2016-05-21,30
2016-05-22,17
2016-05-23,105
2016-05-24,36
2016-05-25,12
2016-05-26,6
2016-05-27,49
2016-05-28,200
2016-05-29,65
2016-05-30,91
2016-05-31,52
2016-06-01,60
2016-06-02,5
2016-06-03,15
2016-06-04,33
2016-06-05,10
2016-06-06,4
2016-06-07,8
2016-06-08,87
2016-06-09,44
2016-06-10,5
2016-06-11,6
2016-06-12,40
2016-06-13,47
2016-06-14,39
2016-06-15,12
2016-06-16,53
2016-06-17,40
2016-06-18,4
2016-06-19,15
2016-06-20,199
2016-06-21,64
2016-06-22,2
2016-06-23,14
2016-06-24,35
2016-06-25,54
2016-06-26,1
2016-06-27,13
2016-06-28,41
2016-06-29,61
2016-06-30,7
2016-07-01,15
2016-07-02,36
2016-07-03,14
2016-07-04,5
2016-07-05,37
2016-07-06,36
2016-07-07,194
2016-07-08,8
2016-07-09,36
2016-07-10,19
2016-07-11,126
2016-07-12,40
2016-07-13,43
2016-07-14,38
2016-07-15,45
2016-07-16,36
2016-07-17,68
2016-07-18,166
2016-07-19,389
2016-07-20,295
2016-07-21,1325
2016-07-22,325
2016-07-23,329
2016-07-24,155
2016-07-25,219
2016-07-26,289
2016-07-27,463
2016-07-28,256
2016-07-29,1235
2016-07-30,498
2016-07-31,451
2016-08-01,187
2016-08-02,325
2016-08-03,631
2016-08-04,797
2016-08-05,164
2016-08-06,217
2016-08-07,234
2016-08-08,504
2016-08-09,141
2016-08-10,529
2016-08-11,251
2016-08-12,581
2016-08-13,116
2016-08-14,113
2016-08-15,594
2016-08-16,443
2016-08-17,533
2016-08-18,356
2016-08-19,402
2016-08-20,191
2016-08-21,102
2016-08-22,175
2016-08-23,621
2016-08-24,1137
2016-08-25,140
2016-08-26,207
2016-08-27,260
2016-08-28,204
2016-08-29,305
2016-08-30,157
2016-08-31,917
2016-09-01,336
2016-09-02,192
2016-09-03,183
2016-09-04,282
2016-09-05,892
2016-09-06,170
2016-09-07,308
2016-09-08,664
2016-09-09,551
2016-09-10,392
2016-09-11,385
2016-09-12,1586
2016-09-13,1046
2016-09-14,1011
2016-09-15,1267
2016-09-16,1991
2016-09-17,3062
2016-09-18,2367
2016-09-19,2570
2016-09-20,183
2016-09-21,448
2016-09-22,386
2016-09-23,1250
2016-09-24,202
2016-09-25,138
2016-09-26,707
2016-09-27,852
2016-09-28,1082
2016-09-29,1458
2016-09-30,527
2016-10-01,149
2016-10-02,368
2016-10-03,466
2016-10-04,302
2016-10-05,787
2016-10-06,3849
2016-10-07,2218
2016-10-08,623
2016-10-09,688
2016-10-10,1733
2016-10-11,769
2016-10-12,1036
2016-10-13,701
2016-10-14,723
2016-10-15,681
2016-10-16,617
2016-10-17,1162
2016-10-18,848
2016-10-19,1945
2016-10-20,818
2016-10-21,569
2016-10-22,586
2016-10-23,527
2016-10-24,998
2016-10-25,614
2016-10-26,848
2016-10-27,606
2016-10-28,1539
2016-10-29,1654
2016-10-30,1633
2016-10-31,668
2016-11-01,577
2016-11-02,997
2016-11-03,557
2016-11-04,525
2016-11-05,550
2016-11-06,621
2016-11-07,2153
2016-11-08,2862
2016-11-09,2159
2016-11-10,608
2016-11-11,367
2016-11-12,393
2016-11-13,414
2016-11-14,1046
2016-11-15,637
2016-11-16,886
2016-11-17,496
2016-11-18,461
2016-11-19,619
2016-11-20,423
2016-11-21,1504
2016-11-22,317
2016-11-23,809
2016-11-24,745
2016-11-25,319
2016-11-26,266
2016-11-27,204
2016-11-28,1156
2016-11-29,362
2016-11-30,519
2016-12-01,256
2016-12-02,453
2016-12-03,550
2016-12-04,538
2016-12-05,1423
2016-12-06,542
2016-12-07,878
2016-12-08,409
2016-12-09,586
2016-12-10,495
2016-12-11,387
2016-12-12,803
2016-12-13,433
2016-12-14,1210
2016-12-15,382
2016-12-16,356
2016-12-17,383
2016-12-18,713
2016-12-19,1389
2016-12-20,377
2016-12-21,1236
2016-12-22,774
2016-12-23,382
2016-12-24,394
2016-12-25,381
2016-12-26,1202
2016-12-27,493
2016-12-28,1068
2016-12-29,389
2016-12-30,382
2016-12-31,0
