"""source""","""tweets"""
"""<a href=\""http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",42681
"""<a href=\""http://twitterfeed.com\"" rel=\""nofollow\"">twitterfeed</a>""",6926
"""<a href=\""https://about.twitter.com/products/tweetdeck\"" rel=\""nofollow\"">TweetDeck</a>""",6410
"""<a href=\""http://twibble.io\"" rel=\""nofollow\"">Twibble.io</a>""",1491
"""<a href=\""http://dlvr.it\"" rel=\""nofollow\"">dlvr.it</a>""",243
"""<a href=\""http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",152
"""<a href=\""http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",93
"""<a href=\""https://medium.com\"" rel=\""nofollow\"">Medium</a>""",17
"""<a href=\""http://bufferapp.com\"" rel=\""nofollow\"">Buffer</a>""",13
"""<a href=\""http://publicize.wp.com/\"" rel=\""nofollow\"">WordPress.com</a>""",6
"""<a href=\""http://ifttt.com\"" rel=\""nofollow\"">IFTTT</a>""",5
"""<a href=\""http://tapbots.com/tweetbot\"" rel=\""nofollow\"">Tweetbot for iΟS</a>""",3
"""<a href=\""http://linkis.com\"" rel=\""nofollow\"">Put your button on any page! </a>""",3
"""<a href=\""http://www.google.com/\"" rel=\""nofollow\"">Google</a>""",3
"""<a href=\""http://tweets.add1.ru/add/\"" rel=\""nofollow\"">pourtwi</a>""",2
"""<a href=\""http://twitter.com/#!/download/ipad\"" rel=\""nofollow\"">Twitter for iPad</a>""",2
"""<a href=\""https://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android Tablets</a>""",1
"""<a href=\""http://novapress.net.ru/\"" rel=\""nofollow\"">NovaPress Publisher</a>""",1
